Champ;Position_Spec;Longueur;Index_Base0;Valeur_1;Valeur_2
Endo_BMD;1;86;0;857FFA71-D661-4FDC-98A5-31FAE269276B;857FFA71-D661-4FDC-98A5-31FAE269276B
date_de_paie;87;8;86;00000000;20260430
incrément;95;2;94;00;01
Appel_WS;157;3;156;WSE;WSE
IAE_MentionMan;160;1;159;1;1
IAE_CodeRejet;161;3;160;;;
IAE_MotifRejet;164;3;163;;;
IAE_Hors_Perimet;168;4;167;;;;
IAE_Hors_Periode;172;1;171;;
IAE_Recevable;173;3;172;;;
IAE_BS;176;1;175;;
IAE_CodeAgence;177;3;176;;;
IAE_NbPages;180;3;179;;;
IAE_RangPas;183;2;182;;
IAE_Image_01;185;50;184;;
IAE_Image_02;235;50;234;;
IAE_Image_03;285;50;284;;
IAE_Image_04;335;50;334;;
IAE_Noassedic;385;2;384;56;56
IAE_Codeantenne;387;5;386;;;
IAE_Rci;392;10;391;1391419114;1391419114
IAE_CPSalarie;402;5;401;75018;75018
IAE_Noidentif;407;8;406;4745159G;4745159G
IAE_Nir;415;15;414;;;
IAE_Nom;430;40;429;ELHESAB                                 ;ELHESAB                                 
IAE_Prenom;470;40;469;ABDELAZIZ                               ;ABDELAZIZ                               
IAE_DateNaissance;510;8;509;19750102;19750102
IAE_Ressortissant;518;2;517;04;04
IAE_Lienparente;520;2;519;;;
IAE_Niveauqualif;522;2;521;07;07
IAE_Statutcadre;524;2;523;;;
IAE_Fillerpave2;526;3;525;;;
IAE_AEOBS;529;1;528;;
IAE_SIRET;530;14;529;75405819600033;75405819600033
IAE_URSSAF;544;18;543;000000000000000000;000000000000000000
IAE_STATUTSALAR;562;3;561;000;000
IAE_PGA;565;1;564;6;6
IAE_AUTREAFFIL;566;50;565;;
IAE_NUM_INTERNE;616;30;615;;
IAE_CODE_EMP_SP;646;1;645;;;
IAE_EP_EMPL_REG;647;1;646;;
IAE_1_NUM_CONV_P;648;10;647;0006    000;0006    000
IAE_CODEANALYT;658;6;657;X20260;X20260
IAE_1_DATE_ADHES;664;8;663;42320260;42320260
IAE_STATUT_SP;672;1;671;5;5
IAE_Codearrco;673;4;672;0150;0150
IAE_Codeagirc;677;4;676;1    ;1    
IAE_Codeautrec;681;4;680;2026;2026
IAE_EmploiPCS;685;4;684;0430;0430
IAE_Dated_Emploi;689;8;688;20260430;20260430
IAE_Datef_Emploi;697;8;696;20260430;20260430
IAE_Codeemploi;705;4;704;    ;    
IAE_Datelicenc;709;8;708;        ;        
IAE_Preavis_Ef;717;1;716;;
IAE_Dated_Preave;718;8;717;        ;        
IAE_Datef_Preave;726;8;725;        ;        
IAE_Preavis_Ne;734;1;733;;
IAE_Preav_Paye;735;1;734;;
IAE_Dated_Ppaye;736;8;735;        ;        
IAE_Datef_Ppaye;744;8;743;        ;        
